No	과목코드	과목명	분반	"이수
구분"	"온라인
강의
비율"	사번	교수명	직급	소속	학점	이론	실습	"상대
평가
유형"	"강의
평가
여부"	"수업
계획서
출력"	"집중
강의
여부"	시간표	"수강
신청
초과
여부"	"출석
적용
여부"
1	A20001	영어듣기연습	1	교양선택	0	398042	강현숙	조교수	아리교양대학/ 교양대학(본교)	3	3	0	상대평가 1유형	1		0	"대신관(C)-504:THU(3),대신관(C)-504:TUE(4,5)"		
2	A20003	영어읽기쓰기연습 II	1	교양선택	0	198025	Choi Woo Young(Gemma	조교수	아리교양대학/ 교양대학(본교)	3	3	0	상대평가 1유형	1		0	"아리비젼센터(I)-812:THU(7),아리비젼센터(I)-812:MON(4,5)"		
3	A20005	실전토익	71	교양선택	0	995078	이영지	시간강사	아리교양대학/ 교양대학(강화)	3	3	0	상대평가 1유형	1		0	"이공인문학관(A)-225:TUE(4,5,6)"		
4	A20005	실전토익	1	교양선택	0	998424	남은희	시간강사	아리교양대학/ 교양대학(본교)	3	3	0	상대평가 1유형	1		0	"수리관(A)-504:FRI(4),수리관(A)-504:TUE(5,6)"		
5	A20008	중급영어회화	1	교양선택	80	198001	김수연	부교수	아리교양대학/ 교양대학(본교)	3	3	0	상대평가 1유형	1		0	"수리관(A)-504:TUE(4),SAT(13,14)"		
6	A20009	영어권문화의 이해	71	교양선택	0	998053	강준수	조교수	아리교양대학/ 교양대학(강화)	3	3	0	상대평가 1유형	1		0	"이공인문학관(A)-402:MON(5,6),이공인문학관(A)-402:TUE(7)"		
7	A20010	기초영어	5	교양선택	0	398041	이명관	조교수	아리교양대학/ 교양대학(본교)	1	1	0	절대평가	1		1	"아리비젼센터(I)-705:MON,TUE,WED,THU,FRI(2,3,4)"		
8	A20010	기초영어	4	교양선택	0	198033	손승희	조교수	아리교양대학/ 교양대학(본교)	1	1	0	절대평가	1		1	"아리비젼센터(I)-704:MON,TUE,WED,THU,FRI(2,3,4)"		
9	A20010	기초영어	1	교양선택	0	398042	강현숙	조교수	아리교양대학/ 교양대학(본교)	1	1	0	절대평가	1		1	"아리비젼센터(I)-609:MON,TUE,WED,THU,FRI(5,6,7)"		
10	A20010	기초영어	2	교양선택	0	919010	최선화	조교수	아리교양대학/ 교양대학(본교)	1	1	0	절대평가	1		1	"아리비젼센터(I)-610:MON,TUE,WED,THU,FRI(2,3,4)"		
11	A20010	기초영어	3	교양선택	0	398065	김지선	조교수	아리교양대학/ 교양대학(본교)	1	1	0	절대평가	1		1	"아리비젼센터(I)-611:MON,TUE,WED,THU,FRI(2,3,4)"		
12	A20012	분석적사고	51	교양선택	87	198037	이훈병	부교수	아리교양대학/ 교양대학(본교)	3	3	0	상대평가 1유형	1		0	"수봉관(F)-1203:MON(10,11,9)"		
13	A20017	문화유산디지털콘텐츠개발	1	교양선택	0	998266	류호철	조교수	아리교양대학/ 교양대학(본교)	3	2	1	상대평가 1유형	1		0	"수봉관(F)-907:THU(7,8,9)"		
14	A20018	원어민과함께하는여행중국어	1	교양선택	0	175010	이영	부교수	아리교양대학/ 교양대학(본교)	3	3	0	상대평가 1유형	1		0	"대신관(C)-507:MON(4),대신관(C)-507:TUE(5,6)"		
15	A20018	원어민과함께하는여행중국어	51	교양선택	0	175010	이영	부교수	아리교양대학/ 교양대학(본교)	3	3	0	상대평가 1유형	1		0	"대신관(C)-507:MON(10,11,9)"		
16	A20019	판문점선언을넘어하나된한반도구상	1	교양선택	0	106010	장용철	교수	아리교양대학/ 교양대학(본교)	2	2	0	상대평가 1유형	1		0	"아리관(N)-B109:WED(5,6)"		
